[2024-08-08T16:37:48.405+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-08T16:37:48.506+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-08T16:37:48.541+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [queued]>
[2024-08-08T16:37:48.543+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-08T16:37:48.594+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-07-15 00:00:00+00:00
[2024-08-08T16:37:48.612+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1339) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-08T16:37:48.615+0000] {standard_task_runner.py:64} INFO - Started process 1343 to run task
[2024-08-08T16:37:48.612+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'TPE_streaming', 'send_data', 'scheduled__2024-07-15T00:00:00+00:00', '--job-id', '109', '--raw', '--subdir', 'DAGS_FOLDER/topic.py', '--cfg-path', '/tmp/tmp9uj_reyf']
[2024-08-08T16:37:48.620+0000] {standard_task_runner.py:91} INFO - Job 109: Subtask send_data
[2024-08-08T16:37:48.658+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-08T16:37:48.820+0000] {task_command.py:426} INFO - Running <TaskInstance: TPE_streaming.send_data scheduled__2024-07-15T00:00:00+00:00 [running]> on host 552be2a98828
[2024-08-08T16:37:49.097+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='TPE_streaming' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-07-15T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-07-15T00:00:00+00:00'
[2024-08-08T16:37:49.101+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-08T16:37:51.141+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.142+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.143+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.145+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.146+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.146+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.149+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.150+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.151+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.152+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.153+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.153+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.155+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.156+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.156+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.157+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.157+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.158+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.158+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.159+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.160+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
[2024-08-08T16:37:51.160+0000] {logging_mixin.py:188} INFO - Delivered message to TPE [0]
