[2024-08-13T15:00:38.380+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-13T15:00:38.431+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T15:00:28.389797+00:00 [queued]>
[2024-08-13T15:00:38.444+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_data.send_data manual__2024-08-13T15:00:28.389797+00:00 [queued]>
[2024-08-13T15:00:38.464+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-08-13T15:00:38.489+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): send_data> on 2024-08-13 15:00:28.389797+00:00
[2024-08-13T15:00:38.498+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=1210) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-08-13T15:00:38.500+0000] {standard_task_runner.py:64} INFO - Started process 1212 to run task
[2024-08-13T15:00:38.498+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_data', 'send_data', 'manual__2024-08-13T15:00:28.389797+00:00', '--job-id', '234', '--raw', '--subdir', 'DAGS_FOLDER/stream.py', '--cfg-path', '/tmp/tmpotu80fh8']
[2024-08-13T15:00:38.501+0000] {standard_task_runner.py:91} INFO - Job 234: Subtask send_data
[2024-08-13T15:00:38.526+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2024-08-13T15:00:38.578+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_data.send_data manual__2024-08-13T15:00:28.389797+00:00 [running]> on host 3b2272169cb8
[2024-08-13T15:00:38.716+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='streaming_data' AIRFLOW_CTX_TASK_ID='send_data' AIRFLOW_CTX_EXECUTION_DATE='2024-08-13T15:00:28.389797+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-08-13T15:00:28.389797+00:00'
[2024-08-13T15:00:38.717+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-08-13T15:00:39.741+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.742+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.743+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.743+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.744+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.744+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.745+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.746+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.746+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.747+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.747+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.748+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.748+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.749+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.749+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.750+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.750+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.751+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.751+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.752+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.752+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.754+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.755+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.755+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.756+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.756+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.757+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.758+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.759+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.759+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.760+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.761+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.762+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.762+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.763+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.764+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.765+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.766+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.766+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.767+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.768+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.770+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.771+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.772+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.772+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.773+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.774+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.775+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.775+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.776+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.777+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.777+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.778+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.779+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.779+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.780+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.781+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.781+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.782+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.783+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.783+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.784+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.787+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.788+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.789+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.790+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.790+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.791+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.792+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.793+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.793+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.794+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.795+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.795+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.796+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.797+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.797+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.798+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.799+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.800+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.800+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.801+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.801+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.802+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.803+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.804+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.805+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.805+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.806+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.807+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.807+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.808+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.809+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.810+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.810+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.811+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.811+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.812+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.813+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.813+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.814+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.815+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.815+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.816+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.817+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.817+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.818+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.819+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.820+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.821+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.821+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.822+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.822+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.823+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.824+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.824+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
[2024-08-13T15:00:39.825+0000] {logging_mixin.py:188} INFO - Delivered message to data [0]
